state,state.long
Aguascalientes,Aguascalientes
Baja California,Baja California
Baja California Sur,Baja California Sur
Campeche,Campeche
Chiapas,Chiapas
Chihuahua,Chihuahua
Ciudad de México,Distrito Federal
Coahuila,Coahuila de Zaragoza
Coahuila de Zaragoza,Coahuila de Zaragoza
Colima,Colima
Distrito Federal,Distrito Federal
Durango,Durango
Estado de México,Estado de México
Estados Unidos Mexicanos,National
gentleman,Hidalgo
Guanajuato,Guanajuato
Guerrero,Guerrero
Hidalgo,Hidalgo
Jalisco,Jalisco
México,Estado de México
Mexico City,Distrito Federal
Mexico state,México
Michoacán,Michoacán de Ocampo
Michoacán de Ocampo,Michoacán de Ocampo
Morelos,Morelos
Nayarit,Nayarit
New Lion,Nuevo León
Nuevo León,Nuevo León
Oaxaca,Oaxaca
Puebla,Puebla
Querétaro,Querétaro
Quintana Roo,Quintana Roo
San Luis Potosi,San Luis Potosí
San Luis Potosí,San Luis Potosí
Sinaloa,Sinaloa
Sonora,Sonora
State,state.long
Tabasco,Tabasco
Tamaulipas,Tamaulipas
Tlaxcala,Tlaxcala
United States of Mexico,Country mexico
Veracruz,Veracruz de Ignacio de la Llave
Veracruz by Ignacio de la Llave,Veracruz de Ignacio de la Llave
Veracruz de Ignacio de la Llave,Veracruz de Ignacio de la Llave
Warrior,Guerrero
Yucatán,Yucatán
Zacatecas,Zacatecas
Veracruz de Ignacio de la Llave1,Veracruz de Ignacio de la Llave
